[SafePPO seed=0] Ep   5 | ret -175.04 | cost  0.00 | lam  0.333 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  10 | ret -168.72 | cost  0.00 | lam  0.302 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  15 | ret -163.87 | cost  0.00 | lam  0.274 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  20 | ret -158.86 | cost  0.00 | lam  0.249 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  25 | ret -153.70 | cost  0.00 | lam  0.227 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  30 | ret -151.54 | cost  0.00 | lam  0.208 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  35 | ret -151.50 | cost  0.00 | lam  0.191 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  40 | ret -149.53 | cost  0.00 | lam  0.177 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  45 | ret -149.99 | cost  0.00 | lam  0.164 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  50 | ret -149.30 | cost  0.00 | lam  0.152 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  55 | ret -153.80 | cost  0.00 | lam  0.142 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  60 | ret -149.41 | cost  0.00 | lam  0.132 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  65 | ret -148.79 | cost  0.00 | lam  0.124 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  70 | ret -138.98 | cost  0.00 | lam  0.117 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  75 | ret -130.75 | cost  0.37 | lam  0.110 | solved 0.00 | viol 46
[SafePPO seed=0] Ep  80 | ret  -56.58 | cost  9.72 | lam  0.104 | solved 0.50 | viol 403
[SafePPO seed=0] Ep  85 | ret  -13.36 | cost 19.62 | lam  0.099 | solved 0.86 | viol 612
[SafePPO seed=0] Ep  90 | ret  -11.21 | cost 21.41 | lam  0.095 | solved 0.86 | viol 643
[SafePPO seed=0] Ep  95 | ret   27.57 | cost 19.10 | lam  0.093 | solved 1.00 | viol 639
[SafePPO seed=0] Ep 100 | ret   33.78 | cost 31.49 | lam  0.091 | solved 1.00 | viol 783
[SafePPO seed=0] Ep 105 | ret   32.49 | cost 52.23 | lam  0.090 | solved 1.00 | viol 1085
[SafePPO seed=0] Ep 110 | ret   45.69 | cost 28.06 | lam  0.090 | solved 1.00 | viol 824
[SafePPO seed=0] Ep 115 | ret   41.37 | cost 37.79 | lam  0.091 | solved 1.00 | viol 931
[SafePPO seed=0] Ep 120 | ret   45.38 | cost 29.07 | lam  0.092 | solved 1.00 | viol 831
[SafePPO seed=0] Ep 125 | ret   49.92 | cost 23.99 | lam  0.093 | solved 1.00 | viol 768
[SafePPO seed=0] Ep 130 | ret   44.86 | cost 32.91 | lam  0.094 | solved 1.00 | viol 855
[SafePPO seed=0] Ep 135 | ret   46.73 | cost 25.86 | lam  0.095 | solved 1.00 | viol 826
[SafePPO seed=0] Ep 140 | ret   50.04 | cost 27.19 | lam  0.095 | solved 1.00 | viol 826
[SafePPO seed=0] Ep 145 | ret   47.12 | cost 23.95 | lam  0.095 | solved 1.00 | viol 804
[SafePPO seed=0] Ep 150 | ret   51.25 | cost 15.60 | lam  0.095 | solved 1.00 | viol 658
[SafePPO seed=0] Ep 155 | ret   47.33 | cost 24.37 | lam  0.095 | solved 1.00 | viol 803
[SafePPO seed=0] Ep 160 | ret   50.29 | cost 22.63 | lam  0.094 | solved 1.00 | viol 784
[SafePPO seed=0] Ep 165 | ret   52.24 | cost 14.27 | lam  0.093 | solved 1.00 | viol 620
[SafePPO seed=0] Ep 170 | ret   49.07 | cost 18.86 | lam  0.092 | solved 1.00 | viol 742
[SafePPO seed=0] Ep 175 | ret   51.96 | cost 13.32 | lam  0.091 | solved 1.00 | viol 625
[SafePPO seed=0] Ep 180 | ret   49.93 | cost 11.45 | lam  0.089 | solved 1.00 | viol 616
[SafePPO seed=0] Ep 185 | ret   46.13 | cost 17.57 | lam  0.087 | solved 1.00 | viol 710
[SafePPO seed=0] Ep 190 | ret   50.84 | cost  9.67 | lam  0.085 | solved 1.00 | viol 573
[SafePPO seed=0] Ep 195 | ret   50.35 | cost 11.02 | lam  0.083 | solved 1.00 | viol 608
[SafePPO seed=0] Ep 200 | ret   45.42 | cost 19.26 | lam  0.080 | solved 1.00 | viol 724
[SafePPO seed=0] Ep 205 | ret   48.12 | cost 15.04 | lam  0.078 | solved 1.00 | viol 742
[SafePPO seed=0] Ep 210 | ret   48.45 | cost 14.77 | lam  0.076 | solved 1.00 | viol 653
[SafePPO seed=0] Ep 215 | ret   51.57 | cost  8.14 | lam  0.074 | solved 1.00 | viol 540
[SafePPO seed=0] Ep 220 | ret   47.86 | cost 11.01 | lam  0.072 | solved 1.00 | viol 609
[SafePPO seed=0] Ep 225 | ret   50.90 | cost  8.74 | lam  0.069 | solved 1.00 | viol 618
[SafePPO seed=0] Ep 230 | ret   52.57 | cost  6.78 | lam  0.067 | solved 1.00 | viol 519
[SafePPO seed=0] Ep 235 | ret   49.51 | cost 15.51 | lam  0.065 | solved 1.00 | viol 606
[SafePPO seed=0] Ep 240 | ret   49.28 | cost  8.68 | lam  0.063 | solved 1.00 | viol 576
[SafePPO seed=0] Ep 245 | ret   50.29 | cost 10.90 | lam  0.061 | solved 1.00 | viol 607
[SafePPO seed=0] Ep 250 | ret   51.14 | cost  6.27 | lam  0.059 | solved 1.00 | viol 520
[SafePPO seed=0] Ep 255 | ret   53.43 | cost  4.82 | lam  0.057 | solved 1.00 | viol 418
[SafePPO seed=0] Ep 260 | ret   50.48 | cost 11.90 | lam  0.055 | solved 1.00 | viol 587
[SafePPO seed=0] Ep 265 | ret   48.86 | cost  7.68 | lam  0.054 | solved 1.00 | viol 555
[SafePPO seed=0] Ep 270 | ret   51.75 | cost  8.00 | lam  0.052 | solved 1.00 | viol 485
[SafePPO seed=0] Ep 275 | ret   48.58 | cost 11.06 | lam  0.050 | solved 1.00 | viol 561
[SafePPO seed=0] Ep 280 | ret   52.25 | cost  6.03 | lam  0.049 | solved 1.00 | viol 460
[SafePPO seed=0] Ep 285 | ret   51.05 | cost  5.74 | lam  0.047 | solved 1.00 | viol 497
[SafePPO seed=0] Ep 290 | ret   38.91 | cost 33.56 | lam  0.046 | solved 1.00 | viol 1014
[SafePPO seed=0] Ep 295 | ret   49.77 | cost  6.54 | lam  0.045 | solved 1.00 | viol 527
[SafePPO seed=0] Ep 300 | ret   53.04 | cost  5.75 | lam  0.044 | solved 1.00 | viol 459
[SafePPO seed=0] done in 347.3s -> /Users/edwarb/projects/uni-project/deep-learning/finalproject-rl/DL/mountaincar-safe-rl/results/safe_S19/seed_0
