[SafePPO seed=0] Ep   5 | ret -175.04 | cost  0.00 | lam  0.049 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  10 | ret -168.61 | cost  0.00 | lam  0.047 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  15 | ret -163.83 | cost  0.00 | lam  0.046 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  20 | ret -155.46 | cost  0.00 | lam  0.045 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  25 | ret -153.76 | cost  0.00 | lam  0.044 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  30 | ret -150.27 | cost  0.00 | lam  0.043 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  35 | ret -149.10 | cost  0.00 | lam  0.042 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  40 | ret -149.00 | cost  0.00 | lam  0.041 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  45 | ret -148.61 | cost  0.00 | lam  0.040 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  50 | ret -153.22 | cost  0.00 | lam  0.039 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  55 | ret -153.70 | cost  0.00 | lam  0.038 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  60 | ret -153.21 | cost  0.00 | lam  0.037 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  65 | ret -157.26 | cost  0.00 | lam  0.036 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  70 | ret -147.00 | cost  0.00 | lam  0.036 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  75 | ret -146.79 | cost  0.00 | lam  0.035 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  80 | ret -123.96 | cost  0.64 | lam  0.034 | solved 0.00 | viol 74
[SafePPO seed=0] Ep  85 | ret  -22.12 | cost 13.49 | lam  0.033 | solved 0.80 | viol 462
[SafePPO seed=0] Ep  90 | ret  -42.64 | cost 21.12 | lam  0.033 | solved 0.65 | viol 580
[SafePPO seed=0] Ep  95 | ret   13.83 | cost 28.06 | lam  0.032 | solved 0.96 | viol 753
[SafePPO seed=0] Ep 100 | ret   24.19 | cost 34.86 | lam  0.032 | solved 1.00 | viol 871
[SafePPO seed=0] Ep 105 | ret   35.67 | cost 25.43 | lam  0.032 | solved 0.97 | viol 732
[SafePPO seed=0] Ep 110 | ret   38.18 | cost 42.37 | lam  0.032 | solved 1.00 | viol 935
[SafePPO seed=0] Ep 115 | ret   46.21 | cost 28.63 | lam  0.032 | solved 1.00 | viol 835
[SafePPO seed=0] Ep 120 | ret   43.22 | cost 37.91 | lam  0.032 | solved 1.00 | viol 890
[SafePPO seed=0] Ep 125 | ret   48.82 | cost 22.87 | lam  0.032 | solved 1.00 | viol 767
[SafePPO seed=0] Ep 130 | ret   46.99 | cost 33.64 | lam  0.032 | solved 1.00 | viol 888
[SafePPO seed=0] Ep 135 | ret   44.70 | cost 36.59 | lam  0.033 | solved 1.00 | viol 901
[SafePPO seed=0] Ep 140 | ret   48.41 | cost 25.68 | lam  0.033 | solved 1.00 | viol 846
[SafePPO seed=0] Ep 145 | ret   49.76 | cost 24.93 | lam  0.033 | solved 1.00 | viol 782
[SafePPO seed=0] Ep 150 | ret   49.32 | cost 24.27 | lam  0.033 | solved 1.00 | viol 760
[SafePPO seed=0] done in 315.8s -> E:\DL\mountaincar-safe-rl\results\safe_ppo\seed_0
[SafePPO seed=1] Ep   5 | ret -173.02 | cost  0.00 | lam  0.049 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  10 | ret -168.21 | cost  0.00 | lam  0.047 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  15 | ret -164.44 | cost  0.00 | lam  0.046 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  20 | ret -166.98 | cost  0.00 | lam  0.045 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  25 | ret -158.24 | cost  0.00 | lam  0.044 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  30 | ret -156.53 | cost  0.00 | lam  0.043 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  35 | ret -159.35 | cost  0.00 | lam  0.042 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  40 | ret -154.87 | cost  0.00 | lam  0.041 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  45 | ret -157.74 | cost  0.00 | lam  0.040 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  50 | ret -158.72 | cost  0.00 | lam  0.039 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  55 | ret -151.50 | cost  0.00 | lam  0.038 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  60 | ret -149.89 | cost  0.00 | lam  0.037 | solved 0.00 | viol 0
